,ethnicity,gender,county,employment_status,primary_language,household_size,education,age
7990,hispanic-white,female,Bradford County,employed,english,1,high school,57
7991,hispanic-white,male,Jefferson County,unemployed,english,NA,high school,29
7992,hispanic-white,male,Calhoun County,employed,english,1,high school,50
7993,caucasion,female,Lafayette County,unemployed,english,1,associate's degree,50
7994,African American,female,Madison County,employed,english,1,high school,31
7995,white,female,Franklin County,employed,english,1,bachelor's degree,35
7996,Other,male,Taylor County,employed,english,NA,trade school or other certification,41
7997,hispanic-black,female,Franklin County,employed,english,NA,less than high school,42
7998,Pacific Islander,female,Franklin County,unemployed,spanish,NA,high school,49
7999,caucasion,male,Dixie County,employed,english,2,graduate degree,52
8000,asian,female,Baker County,employed,english,NA,high school,60
8001,black,male,Bradford County,employed,spanish,2,associate's degree,21
8002,caucasian,female,Gulf County,employed,english,NA,high school,52
8003,hispanic-black,female,Flagler County,employed,english,1,bachelor's degree,50
8004,white,male,Union County,employed,english,2,graduate degree,57
8005,caucasion,female,Jefferson County,employed,english,NA,some university,46
8006,white,male,Washington County,employed,english,1,high school,59
8007,caucasion,female,Bradford County,employed,spanish,NA,high school,54
8008,African American,male,Glades County,employed,english,1,some university,37
8009,Other,female,Gulf County,employed,english,1,high school,54
8010,hispanic-white,male,Glades County,employed,english,3,high school,23
8011,hispanic-black,female,Hardee County,employed,english,1,graduate degree,57
8012,caucasion,female,Jefferson County,employed,english,3,high school,39
8013,caucasion,male,Liberty County,employed,english,3,bachelor's degree,59
8014,Pacific Islander,female,Lafayette County,employed,english,NA,high school,34
8015,African American,female,Lafayette County,employed,english,1,high school,22
8016,caucasion,female,Glades County,employed,english,3,high school,46
8017,hispanic-white,female,Martin County,employed,english,2,bachelor's degree,50
8018,Asian,female,Gulf County,employed,english,1,high school,54
8019,hispanic-black,male,Pinellas County,employed,english,1,bachelor's degree,21
8020,Asian,male,Holmes County,employed,english,3,high school,24
8021,white,female,Indian River County,employed,english,2,less than high school,32
8022,caucasion,female,Liberty County,unemployed,english,1,high school,48
8023,white,female,Glades County,employed,english,4,graduate degree,31
8024,hispanic-white,male,Calhoun County,employed,english,NA,high school,31
8025,hispanic-black,female,Liberty County,employed,english,3,high school,45
8026,caucasian,female,Columbia County,employed,english,1,graduate degree,39
8027,hispanic-black,female,Glades County,employed,english,4,associate's degree,49
8028,African American,female,Glades County,employed,english,NA,high school,35
8029,hispanic-white,female,Glades County,employed,english,1,high school,52
8030,Native American,female,Liberty County,employed,english,2,less than high school,38
8031,Native American and Alaskan Native,female,Lafayette County,employed,english,NA,high school,27
8032,caucasion,female,Gilchrist County,employed,english,1,less than high school,52
8033,white,male,Hamilton County,employed,english,4,some university,28
8034,caucasion,female,Lafayette County,unemployed,spanish,1,high school,41
8035,caucasion,female,Gilchrist County,employed,spanish,1,high school,39
8036,Pacific Islander,female,Gilchrist County,unemployed,english,4,associate's degree,52
8037,caucasian,female,Jackson County,employed,english,1,bachelor's degree,39
8038,hispanic-black,female,Lafayette County,employed,english,1,trade school or other certification,59
8039,hispanic-white,male,Lafayette County,employed,english,1,associate's degree,21
8040,caucasion,female,Madison County,unemployed,english,1,bachelor's degree,23
8041,Native American,female,Gilchrist County,employed,english,1,bachelor's degree,47
8042,caucasian,male,Jackson County,employed,english,1,associate's degree,31
8043,caucasian,female,Liberty County,unemployed,english,NA,trade school or other certification,32
8044,caucasion,female,Hamilton County,employed,english,1,less than high school,59
8045,caucasion,female,Glades County,employed,english,1,high school,30
8046,Asian,male,Monroe County,employed,english,1,high school,51
8047,Asian,female,Franklin County,employed,english,1,high school,32
8048,hispanic-white,female,Taylor County,employed,english,NA,high school,42
8049,caucasian,female,Jefferson County,employed,english,2,high school,25
8050,caucasian,female,Washington County,employed,english,NA,high school,48
8051,Native American,female,Gadsden County,unemployed,spanish,1,high school,23
8052,Asian,female,Lafayette County,employed,english,3,high school,52
8053,caucasion,female,Gulf County,employed,english,1,bachelor's degree,60
8054,caucasion,male,Hamilton County,employed,english,1,bachelor's degree,56
8055,hispanic-white,male,Franklin County,employed,spanish,NA,high school,23
8056,Other,male,Gilchrist County,employed,spanish,2,high school,22
8057,Native American and Alaskan Native,female,Liberty County,employed,english,1,less than high school,60
8058,caucasion,female,Charlotte County,employed,english,1,graduate degree,59
8059,black,male,Bradford County,employed,english,4,high school,46
8060,hispanic-black,female,Nassau County,employed,english,4,high school,43
8061,hispanic-black,female,Levy County,employed,english,2,high school,21
8062,black,female,Jefferson County,employed,english,1,associate's degree,53
8063,caucasion,female,Calhoun County,employed,english,1,high school,36
8064,caucasion,male,Gadsden County,unemployed,english,1,high school,37
8065,Native American,female,Gulf County,employed,english,1,trade school or other certification,59
8066,black,female,Gilchrist County,employed,english,1,associate's degree,22
8067,Native American,male,Okeechobee County,unemployed,english,3,high school,55
8068,caucasion,female,Gilchrist County,employed,english,3,associate's degree,51
8069,Native American and Alaskan Native,female,Dixie County,employed,english,NA,bachelor's degree,47
8070,Asian,female,Dixie County,employed,english,1,some university,26
8071,Asian,male,Hamilton County,employed,english,NA,less than high school,51
8072,caucasion,female,Martin County,employed,english,1,high school,41
8073,white,female,Gilchrist County,employed,other,NA,bachelor's degree,33
8074,hispanic-white,male,Hamilton County,employed,english,4,less than high school,54
8075,hispanic-white,male,Jackson County,employed,english,1,high school,57
8076,caucasian,female,DeSoto County,employed,english,1,graduate degree,57
8077,white,female,Madison County,employed,spanish,1,trade school or other certification,59
8078,African American,female,Holmes County,employed,english,1,trade school or other certification,55
8079,asian,female,Hamilton County,employed,english,1,bachelor's degree,20
8080,hispanic-white,female,Dixie County,employed,english,2,bachelor's degree,45
8081,Native American,male,Madison County,employed,english,2,high school,34
8082,white,female,Liberty County,employed,english,1,some university,53
8083,hispanic-white,female,Baker County,employed,english,3,associate's degree,56
8084,black,male,Madison County,employed,english,NA,high school,48
8085,caucasian,male,Holmes County,employed,english,1,graduate degree,58
8086,hispanic-black,female,Holmes County,employed,english,3,associate's degree,26
8087,caucasion,female,Hardee County,employed,spanish,NA,high school,39
8088,black,female,Hamilton County,employed,english,2,high school,27
8089,Native American and Alaskan Native,female,Union County,employed,english,NA,associate's degree,29
8090,caucasion,female,Liberty County,employed,spanish,1,high school,49
8091,Pacific Islander,female,Union County,employed,english,2,high school,48
8092,Native American and Alaskan Native,female,Liberty County,employed,english,3,bachelor's degree,32
8093,Asian,female,Hendry County,employed,spanish,1,high school,53
8094,Asian,female,Citrus County,employed,english,1,high school,42
8095,hispanic-black,female,Wakulla County,employed,spanish,NA,high school,21
8096,black,female,Hardee County,unemployed,english,2,bachelor's degree,39
8097,Native American,male,Franklin County,employed,english,1,high school,44
8098,hispanic-black,male,Lafayette County,employed,english,2,high school,40
8099,Native American and Alaskan Native,female,Franklin County,employed,english,1,associate's degree,54
8100,caucasion,female,Dixie County,employed,english,2,high school,21
8101,hispanic-white,female,Hardee County,employed,spanish,1,high school,42
8102,hispanic-white,female,Hendry County,employed,english,NA,graduate degree,41
8103,caucasion,male,Indian River County,employed,english,4,some university,52
8104,white,male,Lafayette County,employed,english,2,some university,24
8105,hispanic-black,female,Madison County,unemployed,english,4,high school,38
8106,hispanic-black,male,Hamilton County,employed,spanish,1,high school,42
8107,caucasion,male,Union County,employed,spanish,1,some university,47
8108,black,female,Franklin County,employed,english,1,less than high school,36
8109,caucasian,male,Monroe County,employed,other,1,less than high school,20
8110,hispanic-white,female,Glades County,employed,english,NA,trade school or other certification,22
8111,hispanic-white,male,Liberty County,employed,english,2,high school,21
8112,Other,male,Taylor County,employed,english,2,high school,60
8113,hispanic-white,male,Franklin County,employed,english,1,high school,35
8114,caucasian,female,Taylor County,employed,english,1,bachelor's degree,32
8115,hispanic-white,female,Lafayette County,employed,english,3,high school,23
8116,Other,female,Jefferson County,employed,other,2,high school,41
8117,Asian,female,Baker County,employed,spanish,4,high school,53
8118,caucasion,male,Franklin County,employed,english,2,bachelor's degree,32
8119,white,male,Lafayette County,unemployed,english,2,high school,23
8120,hispanic-black,female,Lafayette County,employed,english,NA,high school,25
8121,white,male,Calhoun County,employed,english,NA,less than high school,49
8122,caucasion,female,Holmes County,unemployed,english,1,trade school or other certification,54
8123,hispanic-white,female,Madison County,employed,english,2,high school,20
8124,hispanic-white,female,Calhoun County,employed,spanish,NA,high school,55
8125,hispanic-white,female,Charlotte County,employed,english,1,high school,40
8126,caucasion,female,Lafayette County,employed,english,NA,associate's degree,34
8127,Asian,female,Dixie County,employed,english,1,bachelor's degree,56
8128,Native American and Alaskan Native,male,Jefferson County,unemployed,english,NA,high school,35
8129,caucasion,female,Lafayette County,employed,english,1,less than high school,28
8130,caucasion,female,Gulf County,employed,english,1,some university,44
8131,white,female,Gilchrist County,employed,english,1,high school,42
8132,Pacific Islander,male,Walton County,employed,english,1,high school,53
8133,caucasian,female,Liberty County,employed,spanish,2,bachelor's degree,29
8134,caucasian,male,Franklin County,employed,spanish,4,less than high school,53
8135,white,female,Lafayette County,employed,english,3,high school,27
8136,hispanic-white,male,Jackson County,employed,english,2,high school,53
8137,hispanic-white,female,Union County,employed,english,2,high school,39
8138,Asian,male,Liberty County,employed,english,3,less than high school,40
8139,hispanic-black,female,Wakulla County,employed,english,1,graduate degree,34
8140,hispanic-white,female,Calhoun County,employed,english,1,graduate degree,41
8141,hispanic-white,female,Washington County,employed,english,1,high school,53
8142,caucasian,female,Glades County,employed,english,1,high school,35
8143,Asian,female,Gulf County,employed,english,4,some university,32
8144,hispanic-white,female,Walton County,employed,english,1,high school,40
8145,caucasion,female,Franklin County,employed,english,4,less than high school,41
8146,caucasion,female,Gulf County,employed,english,2,bachelor's degree,47
8147,African American,female,Jefferson County,employed,spanish,NA,high school,55
8148,caucasion,male,Lafayette County,employed,english,3,associate's degree,51
8149,Asian,female,Bradford County,employed,english,4,associate's degree,50
8150,hispanic-white,female,Franklin County,employed,english,1,bachelor's degree,40
8151,caucasion,male,Holmes County,employed,english,1,bachelor's degree,21
8152,white,female,Franklin County,unemployed,spanish,1,trade school or other certification,59
8153,hispanic-white,female,Gilchrist County,employed,spanish,4,high school,43
8154,Asian,female,Liberty County,employed,english,1,high school,43
8155,Asian,male,Franklin County,employed,english,NA,some university,60
8156,hispanic-white,female,Hardee County,employed,english,1,bachelor's degree,52
8157,Native American and Alaskan Native,female,Suwannee County,employed,english,1,less than high school,30
8158,caucasian,female,Gulf County,unemployed,english,2,trade school or other certification,26
8159,hispanic-white,female,Calhoun County,employed,english,1,high school,44
8160,caucasian,female,Madison County,employed,spanish,1,high school,30
8161,white,male,Jefferson County,employed,english,1,high school,51
8162,hispanic-black,male,Hillsborough County,employed,english,1,graduate degree,51
8163,caucasion,female,Jefferson County,employed,english,NA,some university,24
8164,African American,female,Lafayette County,employed,english,1,bachelor's degree,58
8165,caucasion,female,Calhoun County,employed,english,NA,high school,32
8166,Pacific Islander,female,Putnam County,unemployed,english,2,associate's degree,38
8167,Other,male,Hardee County,employed,english,3,high school,51
8168,Other,female,Washington County,employed,english,NA,high school,32
8169,caucasian,male,Liberty County,employed,english,1,high school,57
8170,Pacific Islander,female,Levy County,employed,english,1,some university,23
8171,caucasion,female,Franklin County,employed,english,1,some university,59
8172,hispanic-black,female,Jefferson County,employed,english,1,graduate degree,30
8173,hispanic-white,female,Liberty County,unemployed,english,1,bachelor's degree,52
8174,Native American and Alaskan Native,female,Franklin County,employed,other,1,some university,44
8175,Asian,male,Madison County,employed,spanish,1,high school,53
8176,hispanic-white,male,Franklin County,unemployed,english,1,high school,20
8177,Pacific Islander,female,Gilchrist County,unemployed,english,1,high school,40
8178,Asian,female,Glades County,employed,english,1,less than high school,54
8179,Pacific Islander,female,Union County,employed,english,2,high school,46
8180,caucasion,female,Gulf County,employed,english,2,associate's degree,50
8181,caucasion,male,Calhoun County,employed,english,1,high school,48
8182,caucasian,female,Taylor County,employed,english,2,some university,37
8183,Other,male,Lafayette County,employed,spanish,NA,high school,32
8184,caucasian,male,Jefferson County,employed,spanish,NA,less than high school,22
8185,caucasian,male,Columbia County,employed,english,1,high school,26
8186,hispanic-white,female,Lafayette County,employed,english,1,associate's degree,32
8187,Asian,female,Taylor County,employed,english,4,less than high school,20
8188,caucasian,male,Levy County,employed,english,NA,high school,38
8189,caucasion,female,Jefferson County,employed,english,NA,some university,28
8190,hispanic-white,female,Wakulla County,employed,english,NA,associate's degree,36
8191,caucasion,female,Gulf County,employed,english,3,high school,59
8192,African American,female,Jackson County,employed,english,1,some university,26
8193,hispanic-white,male,Baker County,employed,spanish,NA,some university,47
8194,caucasion,female,Liberty County,employed,english,NA,high school,31
8195,hispanic-white,male,Volusia County,employed,english,3,bachelor's degree,31
8196,caucasian,male,Lafayette County,employed,english,NA,trade school or other certification,39
8197,caucasian,female,Gulf County,employed,english,4,high school,27
8198,hispanic-white,female,Lafayette County,employed,english,1,some university,23
8199,African American,female,Jefferson County,employed,english,2,associate's degree,35
8200,caucasion,male,Holmes County,employed,english,NA,some university,33
8201,hispanic-white,female,Levy County,employed,other,4,high school,50
8202,caucasian,female,Glades County,employed,english,4,high school,59
8203,caucasion,male,Gilchrist County,employed,english,1,trade school or other certification,28
8204,hispanic-white,female,Okeechobee County,employed,english,1,associate's degree,44
8205,caucasion,female,Liberty County,employed,spanish,1,associate's degree,31
8206,caucasian,male,Holmes County,employed,english,1,less than high school,31
8207,hispanic-white,female,Liberty County,employed,english,NA,associate's degree,56
8208,caucasian,female,Jefferson County,employed,english,1,high school,57
8209,caucasion,female,Holmes County,unemployed,english,4,high school,20
8210,hispanic-white,female,Baker County,employed,english,1,high school,49
8211,Other,male,Jackson County,unemployed,english,1,graduate degree,56
8212,caucasion,male,Hardee County,employed,spanish,1,some university,35
8213,caucasian,female,Glades County,employed,english,1,bachelor's degree,27
8214,white,female,Madison County,employed,english,NA,high school,26
8215,hispanic-white,female,Dixie County,employed,english,1,bachelor's degree,24
8216,white,female,Union County,employed,english,4,high school,35
8217,hispanic-white,female,Taylor County,employed,english,2,graduate degree,44
8218,hispanic-black,male,Dixie County,employed,english,1,some university,42
8219,Native American and Alaskan Native,male,Calhoun County,employed,english,3,less than high school,37
8220,caucasion,female,Suwannee County,employed,english,NA,some university,47
8221,caucasion,female,Jefferson County,unemployed,english,1,associate's degree,22
8222,white,male,Okaloosa County,employed,english,1,less than high school,48
8223,hispanic-white,male,Gadsden County,employed,english,4,high school,45
8224,caucasian,male,Holmes County,employed,english,2,high school,36
8225,white,female,Hamilton County,employed,english,1,less than high school,47
8226,hispanic-white,female,Okeechobee County,unemployed,english,1,high school,35
8227,hispanic-black,male,Gilchrist County,employed,english,1,high school,48
8228,hispanic-white,female,Liberty County,employed,english,NA,high school,43
8229,caucasian,female,Hamilton County,employed,spanish,3,associate's degree,34
8230,African American,female,Okeechobee County,employed,english,1,high school,29
8231,white,female,Gilchrist County,employed,english,1,less than high school,38
8232,white,male,Hillsborough County,employed,english,NA,high school,47
8233,white,male,Union County,employed,english,4,bachelor's degree,50
8234,caucasion,female,Gulf County,employed,english,1,high school,35
8235,Native American and Alaskan Native,male,Jefferson County,unemployed,english,1,high school,39
8236,caucasion,female,Calhoun County,unemployed,spanish,3,high school,47
8237,African American,female,Suwannee County,employed,spanish,4,bachelor's degree,27
8238,Native American,female,Wakulla County,employed,english,2,less than high school,56
8239,Native American and Alaskan Native,female,Lafayette County,unemployed,english,4,graduate degree,24
8240,caucasian,male,Union County,employed,english,1,high school,38
8241,hispanic-white,male,Hamilton County,employed,english,NA,high school,57
8242,asian,female,Highlands County,employed,english,1,high school,34
8243,caucasion,male,Nassau County,unemployed,english,1,trade school or other certification,30
8244,caucasian,female,Gilchrist County,unemployed,english,3,high school,56
8245,white,male,Gilchrist County,employed,english,1,high school,41
8246,white,female,Lafayette County,employed,english,1,associate's degree,26
8247,caucasion,female,Madison County,employed,english,2,high school,57
8248,white,female,Nassau County,employed,english,4,trade school or other certification,39
8249,caucasian,female,Calhoun County,employed,english,1,associate's degree,48
8250,black,female,Levy County,employed,english,NA,trade school or other certification,34
8251,hispanic-white,female,Hamilton County,employed,english,3,high school,41
8252,hispanic-white,female,Sarasota County,employed,english,1,graduate degree,42
8253,African American,female,Gilchrist County,employed,english,1,some university,41
8254,Native American and Alaskan Native,female,Madison County,employed,english,1,trade school or other certification,45
8255,caucasion,female,Franklin County,employed,other,1,bachelor's degree,43
8256,caucasion,female,Charlotte County,employed,english,NA,less than high school,29
8257,caucasion,female,Bradford County,employed,english,1,high school,25
8258,hispanic-white,female,Union County,employed,english,1,high school,35
8259,caucasian,female,Union County,employed,english,1,bachelor's degree,42
8260,Asian,female,Hamilton County,employed,english,1,some university,42
8261,caucasian,female,Lafayette County,employed,english,1,high school,35
8262,caucasion,female,Hendry County,employed,english,NA,some university,31
8263,hispanic-white,male,Franklin County,employed,english,1,less than high school,57
8264,caucasian,male,Lafayette County,employed,english,1,high school,58
8265,caucasion,female,Franklin County,employed,english,1,associate's degree,26
8266,caucasion,female,Seminole County,employed,english,NA,high school,29
8267,hispanic-white,male,Walton County,employed,english,1,high school,43
8268,caucasian,male,Jefferson County,employed,english,1,high school,47
8269,hispanic-white,female,Calhoun County,employed,english,1,bachelor's degree,32
8270,Other,male,Glades County,employed,english,1,bachelor's degree,23
8271,caucasion,female,Gilchrist County,employed,english,1,graduate degree,41
8272,hispanic-white,female,Charlotte County,employed,english,1,some university,51
8273,hispanic-white,female,Washington County,employed,english,3,associate's degree,30
8274,hispanic-white,female,Okeechobee County,employed,english,1,high school,36
8275,white,female,Liberty County,employed,spanish,4,high school,22
8276,caucasian,female,Gulf County,employed,english,4,associate's degree,38
8277,Native American and Alaskan Native,male,Okeechobee County,employed,english,1,less than high school,30
8278,caucasion,female,Jackson County,employed,spanish,1,high school,36
8279,Native American and Alaskan Native,female,Lafayette County,employed,english,3,high school,20
8280,black,female,Holmes County,employed,english,NA,high school,31
8281,hispanic-white,female,Escambia County,employed,english,1,some university,28
8282,hispanic-white,female,Lafayette County,employed,spanish,3,associate's degree,26
8283,caucasian,male,Union County,employed,english,1,some university,38
8284,caucasion,female,Calhoun County,employed,english,1,graduate degree,37
8285,hispanic-white,female,Calhoun County,employed,english,1,high school,28
8286,hispanic-black,male,Taylor County,employed,english,3,high school,33
8287,white,female,Wakulla County,employed,english,1,high school,30
8288,black,female,Union County,employed,english,1,high school,55
8289,hispanic-white,male,Gulf County,employed,other,1,less than high school,56
8290,caucasion,female,Franklin County,employed,english,NA,high school,45
8291,caucasion,female,Glades County,employed,english,1,some university,38
8292,caucasion,female,Union County,employed,english,1,high school,29
8293,caucasion,female,Volusia County,employed,english,1,high school,51
8294,white,male,Putnam County,employed,english,4,less than high school,29
8295,hispanic-white,male,Franklin County,employed,spanish,1,trade school or other certification,25
8296,hispanic-white,female,Walton County,employed,spanish,1,some university,49
8297,caucasion,male,Holmes County,employed,english,NA,high school,41
8298,caucasion,female,Liberty County,employed,english,2,associate's degree,58
8299,white,male,Holmes County,employed,spanish,3,high school,30
8300,hispanic-white,female,Liberty County,employed,english,NA,high school,25
8301,hispanic-black,female,Union County,employed,english,2,high school,26
8302,caucasian,female,Dixie County,employed,english,3,associate's degree,44
8303,hispanic-black,female,Lafayette County,unemployed,english,NA,high school,50
8304,caucasion,female,Lafayette County,employed,spanish,NA,trade school or other certification,42
8305,Pacific Islander,male,Liberty County,employed,english,1,trade school or other certification,60
8306,Asian,female,Bradford County,employed,english,3,bachelor's degree,36
8307,caucasian,female,Walton County,employed,english,1,high school,28
8308,hispanic-white,male,Putnam County,employed,english,1,less than high school,26
8309,Asian,female,Lafayette County,employed,english,1,high school,56
8310,hispanic-black,female,Hamilton County,employed,english,4,less than high school,34
8311,caucasion,male,Hamilton County,employed,english,NA,high school,33
8312,caucasion,female,Glades County,unemployed,other,NA,high school,57
8313,black,female,Leon County,employed,english,4,high school,59
8314,white,male,Gadsden County,employed,spanish,1,graduate degree,26
8315,Asian,male,Hamilton County,employed,english,2,high school,26
8316,hispanic-white,male,Osceola County,employed,english,1,high school,28
8317,caucasion,female,Washington County,employed,spanish,NA,high school,48
8318,hispanic-white,female,Glades County,employed,english,4,high school,58
8319,hispanic-black,female,Gadsden County,employed,english,1,associate's degree,24
8320,Other,female,Highlands County,employed,english,1,some university,36
8321,Native American,female,Holmes County,unemployed,spanish,2,high school,31
8322,hispanic-black,male,Glades County,employed,english,2,associate's degree,36
8323,caucasion,female,Lake County,employed,english,1,high school,43
8324,hispanic-black,male,Calhoun County,employed,english,NA,bachelor's degree,58
8325,white,female,Gulf County,employed,english,4,high school,30
8326,hispanic-white,female,Monroe County,employed,english,1,associate's degree,43
8327,Native American,female,Liberty County,employed,english,1,high school,50
8328,caucasian,male,Union County,employed,english,NA,high school,54
8329,white,female,Wakulla County,employed,english,3,bachelor's degree,20
8330,caucasion,female,Liberty County,employed,english,2,high school,52
8331,Other,female,Orange County,employed,english,1,high school,32
8332,hispanic-white,female,Hendry County,employed,english,NA,associate's degree,39
8333,Native American,female,Citrus County,employed,english,NA,high school,31
8334,African American,female,Hamilton County,employed,english,1,high school,20
8335,hispanic-black,female,Hernando County,employed,english,4,associate's degree,48
8336,black,female,Taylor County,employed,english,1,high school,59
8337,caucasion,female,Calhoun County,employed,english,1,bachelor's degree,39
8338,hispanic-black,male,Lafayette County,employed,spanish,1,graduate degree,48
8339,hispanic-black,male,Osceola County,employed,english,2,high school,35
8340,hispanic-white,male,Levy County,employed,english,2,associate's degree,55
8341,caucasian,female,Hendry County,employed,english,3,high school,48
8342,caucasian,female,Osceola County,employed,english,4,less than high school,36
8343,caucasion,female,Franklin County,employed,english,NA,some university,54
8344,white,female,Taylor County,employed,english,2,some university,34
8345,caucasion,female,Marion County,employed,english,1,high school,28
8346,hispanic-white,male,Calhoun County,employed,english,NA,graduate degree,28
8347,white,female,Union County,employed,english,2,graduate degree,45
8348,hispanic-black,male,DeSoto County,unemployed,english,4,associate's degree,55
8349,hispanic-white,female,Madison County,employed,english,1,less than high school,54
8350,caucasion,female,Glades County,employed,english,NA,high school,37
8351,hispanic-white,female,St. Johns County,unemployed,spanish,1,graduate degree,45
8352,Asian,male,Gulf County,employed,english,1,high school,52
8353,caucasian,female,Jefferson County,employed,english,1,high school,28
8354,caucasion,male,Jackson County,employed,english,NA,bachelor's degree,52
8355,white,female,Lafayette County,employed,english,1,bachelor's degree,51
8356,hispanic-white,male,Union County,employed,spanish,NA,associate's degree,40
8357,Other,female,Wakulla County,employed,english,1,high school,26
8358,caucasion,male,Gadsden County,employed,english,1,high school,22
8359,white,female,Liberty County,employed,other,1,high school,45
8360,caucasian,male,Jefferson County,employed,english,1,high school,31
8361,hispanic-white,female,Jefferson County,employed,english,1,high school,28
8362,hispanic-black,female,Liberty County,employed,english,1,high school,25
8363,caucasian,male,Jefferson County,employed,english,1,some university,48
8364,asian,male,Hardee County,employed,spanish,2,high school,38
8365,hispanic-white,female,Gulf County,employed,english,NA,trade school or other certification,58
8366,hispanic-white,male,Hendry County,employed,english,2,high school,32
8367,black,male,Okeechobee County,unemployed,english,1,less than high school,55
8368,Native American,female,Lafayette County,unemployed,english,4,trade school or other certification,43
8369,hispanic-white,male,Madison County,employed,english,1,graduate degree,26
8370,hispanic-white,female,Jefferson County,employed,english,NA,less than high school,34
8371,Native American and Alaskan Native,male,Gilchrist County,employed,english,1,some university,40
8372,Pacific Islander,male,Columbia County,employed,english,1,high school,47
8373,hispanic-black,female,Dixie County,unemployed,english,4,high school,59
8374,caucasian,female,Gilchrist County,employed,english,2,high school,44
8375,white,female,Walton County,employed,spanish,1,high school,44
8376,white,female,Suwannee County,employed,english,1,associate's degree,53
8377,African American,male,Nassau County,employed,english,1,high school,56
8378,hispanic-white,female,Glades County,unemployed,english,4,trade school or other certification,36
8379,hispanic-black,female,Liberty County,employed,english,1,less than high school,49
8380,hispanic-white,female,Columbia County,employed,english,1,graduate degree,60
8381,white,male,Washington County,employed,spanish,1,bachelor's degree,20
8382,caucasian,male,Franklin County,employed,english,NA,high school,38
8383,Asian,male,Citrus County,employed,english,1,high school,30
8384,caucasian,female,Baker County,employed,english,1,high school,20
8385,hispanic-white,male,Glades County,employed,english,2,bachelor's degree,44
8386,hispanic-white,female,Liberty County,employed,english,3,high school,58
8387,hispanic-white,male,Jefferson County,employed,english,3,high school,47
8388,hispanic-black,female,Levy County,employed,other,1,associate's degree,53
8389,Pacific Islander,male,Hillsborough County,employed,english,1,less than high school,20
8390,caucasion,female,Hardee County,employed,english,1,high school,22
8391,Other,female,Gilchrist County,employed,english,1,associate's degree,45
8392,Native American and Alaskan Native,female,Gulf County,unemployed,english,2,less than high school,30
8393,caucasion,female,Lee County,employed,english,1,associate's degree,38
8394,hispanic-white,male,Bradford County,employed,english,2,less than high school,37
8395,hispanic-white,female,Lafayette County,employed,english,1,associate's degree,33
8396,caucasian,female,Liberty County,employed,english,4,bachelor's degree,33
8397,white,female,Dixie County,employed,english,1,some university,39
8398,Native American and Alaskan Native,male,Gulf County,employed,english,1,graduate degree,45
8399,black,female,Franklin County,employed,english,1,high school,36
8400,hispanic-white,female,Lafayette County,employed,english,1,high school,34
8401,hispanic-black,female,Franklin County,employed,english,NA,high school,27
8402,white,female,Glades County,employed,english,1,high school,32
8403,white,female,Leon County,unemployed,english,1,high school,44
8404,hispanic-white,female,Hendry County,employed,english,3,graduate degree,32
8405,hispanic-black,female,Union County,employed,english,4,high school,45
8406,hispanic-black,female,Gulf County,employed,english,1,less than high school,46
8407,hispanic-white,female,Glades County,employed,english,2,high school,55
8408,black,female,Hamilton County,employed,english,2,high school,46
8409,Native American and Alaskan Native,female,Glades County,employed,english,1,associate's degree,56
8410,Native American and Alaskan Native,female,Wakulla County,employed,english,NA,some university,35
8411,hispanic-white,female,Glades County,employed,spanish,4,high school,44
8412,caucasian,female,Escambia County,unemployed,english,NA,graduate degree,28
8413,caucasion,female,Hamilton County,employed,english,1,high school,30
8414,caucasion,male,Highlands County,employed,english,1,graduate degree,44
8415,white,male,Madison County,employed,english,4,graduate degree,35
8416,caucasion,female,Hamilton County,employed,english,1,high school,46
8417,Native American and Alaskan Native,female,Gilchrist County,employed,english,1,trade school or other certification,33
8418,Native American,male,Gulf County,employed,english,1,high school,36
8419,black,female,Gulf County,employed,english,1,associate's degree,53
8420,caucasion,female,Madison County,employed,english,1,trade school or other certification,30
8421,African American,male,Madison County,employed,english,1,high school,34
8422,hispanic-black,male,Liberty County,employed,english,1,high school,42
8423,caucasian,female,Gilchrist County,employed,english,1,associate's degree,52
8424,hispanic-white,female,Dixie County,employed,spanish,1,associate's degree,20
8425,caucasion,male,Baker County,employed,english,2,high school,33
8426,caucasion,male,Lafayette County,employed,english,1,less than high school,59
8427,Pacific Islander,male,Alachua County,employed,english,NA,high school,49
8428,black,male,DeSoto County,employed,english,2,some university,39
8429,caucasion,female,Taylor County,employed,spanish,2,high school,43
8430,African American,male,Union County,employed,english,1,high school,30
8431,caucasion,female,Taylor County,employed,english,1,bachelor's degree,39
8432,hispanic-white,female,Suwannee County,employed,english,3,high school,26
8433,black,female,Jefferson County,employed,english,1,high school,39
8434,caucasion,male,Lafayette County,employed,english,2,high school,50
8435,hispanic-white,female,Madison County,employed,english,NA,trade school or other certification,28
8436,white,female,Wakulla County,employed,english,NA,some university,56
8437,Native American and Alaskan Native,female,Lafayette County,employed,english,NA,high school,55
8438,caucasion,female,Calhoun County,employed,english,2,some university,39
8439,hispanic-white,female,Calhoun County,employed,english,1,high school,34
8440,caucasion,female,Okeechobee County,employed,english,1,bachelor's degree,38
8441,caucasion,female,Franklin County,employed,spanish,1,high school,44
8442,hispanic-black,female,Taylor County,employed,spanish,1,high school,23
8443,black,female,Lafayette County,unemployed,english,1,bachelor's degree,40
8444,Native American,female,Taylor County,employed,english,NA,some university,54
